,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Price,Open,High,Low,Change %
112,112.0,112.0,112.0,12/28/1994,9.34,9.34,9.34,9.34,0.00%
113,113.0,113.0,113.0,12/29/1994,9.56,9.56,9.56,9.56,2.36%
114,114.0,114.0,114.0,1/4/1995,9.64,9.64,9.64,9.64,0.84%
115,115.0,115.0,115.0,1/5/1995,9.6,9.6,9.6,9.6,-0.41%
116,116.0,116.0,116.0,1/9/1995,9.69,9.69,9.69,9.69,0.94%
117,117.0,117.0,117.0,1/10/1995,9.72,9.72,9.72,9.72,0.31%
118,118.0,118.0,118.0,1/11/1995,9.57,9.57,9.57,9.57,-1.54%
119,119.0,119.0,119.0,1/12/1995,9.41,9.41,9.41,9.41,-1.67%
120,120.0,120.0,120.0,1/13/1995,9.55,9.55,9.55,9.55,1.49%
121,121.0,121.0,121.0,1/16/1995,9.51,9.51,9.51,9.51,-0.42%
122,122.0,122.0,122.0,1/17/1995,9.44,9.44,9.44,9.44,-0.74%
123,123.0,123.0,123.0,1/18/1995,9.43,9.43,9.43,9.43,-0.11%
124,124.0,124.0,124.0,1/19/1995,9.44,9.44,9.44,9.44,0.11%
125,125.0,125.0,125.0,1/20/1995,9.55,9.55,9.55,9.55,1.17%
126,126.0,126.0,126.0,1/24/1995,9.5,9.5,9.5,9.5,-0.52%
127,127.0,127.0,127.0,1/25/1995,9.33,9.33,9.33,9.33,-1.79%
128,128.0,128.0,128.0,1/26/1995,9.24,9.24,9.24,9.24,-0.96%
129,129.0,129.0,129.0,1/27/1995,9.28,9.28,9.28,9.28,0.43%
130,130.0,130.0,130.0,1/30/1995,9.23,9.23,9.23,9.23,-0.54%
131,131.0,131.0,131.0,1/31/1995,9.6,9.6,9.6,9.6,4.01%
132,132.0,132.0,132.0,2/1/1995,9.58,9.58,9.58,9.58,-0.21%
133,133.0,133.0,133.0,2/2/1995,9.54,9.54,9.54,9.54,-0.42%
134,134.0,134.0,134.0,2/3/1995,9.5,9.5,9.5,9.5,-0.42%
135,135.0,135.0,135.0,2/7/1995,9.43,9.43,9.43,9.43,-0.74%
136,136.0,136.0,136.0,2/8/1995,9.41,9.41,9.41,9.41,-0.21%
137,137.0,137.0,137.0,2/9/1995,9.32,9.32,9.32,9.32,-0.96%
138,138.0,138.0,138.0,2/13/1995,9.33,9.33,9.33,9.33,0.11%
139,139.0,139.0,139.0,2/14/1995,9.44,9.44,9.44,9.44,1.18%
140,140.0,140.0,140.0,2/15/1995,9.4,9.4,9.4,9.4,-0.42%
141,141.0,141.0,141.0,2/16/1995,9.45,9.45,9.45,9.45,0.53%
142,142.0,142.0,142.0,2/17/1995,9.49,9.49,9.49,9.49,0.42%
143,143.0,143.0,143.0,2/20/1995,9.63,9.63,9.63,9.63,1.48%
144,144.0,144.0,144.0,2/21/1995,9.46,9.46,9.46,9.46,-1.77%
145,145.0,145.0,145.0,2/22/1995,9.45,9.45,9.45,9.45,-0.11%
146,146.0,146.0,146.0,2/23/1995,9.27,9.27,9.27,9.27,-1.90%
147,147.0,147.0,147.0,2/24/1995,9.35,9.35,9.35,9.35,0.86%
148,148.0,148.0,148.0,2/27/1995,9.28,9.28,9.28,9.28,-0.75%
149,149.0,149.0,149.0,2/28/1995,9.29,9.29,9.29,9.29,0.11%
150,150.0,150.0,150.0,3/1/1995,9.26,9.26,9.26,9.26,-0.32%
151,151.0,151.0,151.0,3/2/1995,9.2,9.2,9.2,9.2,-0.65%
152,152.0,152.0,152.0,3/3/1995,9.2,9.2,9.2,9.2,0.00%
153,153.0,153.0,153.0,3/6/1995,9.26,9.26,9.26,9.26,0.65%
154,154.0,154.0,154.0,3/8/1995,9.4,9.4,9.4,9.4,1.51%
155,155.0,155.0,155.0,3/9/1995,9.49,9.49,9.49,9.49,0.96%
156,156.0,156.0,156.0,3/10/1995,9.41,9.41,9.41,9.41,-0.84%
157,157.0,157.0,157.0,3/13/1995,9.33,9.33,9.33,9.33,-0.85%
158,158.0,158.0,158.0,3/14/1995,9.22,9.22,9.22,9.22,-1.18%
159,159.0,159.0,159.0,3/15/1995,9.26,9.26,9.26,9.26,0.43%
160,160.0,160.0,160.0,3/16/1995,9.33,9.33,9.33,9.33,0.76%
161,161.0,161.0,161.0,3/17/1995,9.34,9.34,9.34,9.34,0.11%
162,162.0,162.0,162.0,3/20/1995,9.37,9.37,9.37,9.37,0.32%
163,163.0,163.0,163.0,3/21/1995,9.33,9.33,9.33,9.33,-0.43%
164,164.0,164.0,164.0,3/22/1995,9.3,9.3,9.3,9.3,-0.32%
165,165.0,165.0,165.0,3/23/1995,9.25,9.25,9.25,9.25,-0.54%
166,166.0,166.0,166.0,3/24/1995,9.23,9.23,9.23,9.23,-0.22%
167,167.0,167.0,167.0,3/27/1995,9.22,9.22,9.22,9.22,-0.11%
168,168.0,168.0,168.0,4/27/1995,9.0,9.0,9.0,9.0,-2.39%
169,169.0,169.0,169.0,4/28/1995,8.99,8.99,8.99,8.99,-0.11%
170,170.0,170.0,170.0,5/2/1995,9.04,9.04,9.04,9.04,0.56%
171,171.0,171.0,171.0,5/4/1995,8.99,8.99,8.99,8.99,-0.55%
172,172.0,172.0,172.0,5/5/1995,8.97,8.97,8.97,8.97,-0.22%
173,173.0,173.0,173.0,5/8/1995,8.96,8.96,8.96,8.96,-0.11%
174,174.0,174.0,174.0,5/9/1995,8.95,8.95,8.95,8.95,-0.11%
175,175.0,175.0,175.0,5/10/1995,8.92,8.92,8.92,8.92,-0.34%
176,176.0,176.0,176.0,5/11/1995,8.93,8.93,8.93,8.93,0.11%
177,177.0,177.0,177.0,5/12/1995,8.93,8.93,8.93,8.93,0.00%
178,178.0,178.0,178.0,5/15/1995,8.95,8.95,8.95,8.95,0.22%
179,179.0,179.0,179.0,5/16/1995,9.01,9.01,9.01,9.01,0.67%
180,180.0,180.0,180.0,5/17/1995,9.1,9.1,9.1,9.1,1.00%
181,181.0,181.0,181.0,5/19/1995,9.14,9.14,9.14,9.14,0.44%
182,182.0,182.0,182.0,5/23/1995,9.14,9.14,9.14,9.14,0.00%
