,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Price,Open,High,Low,Change %,0,1,2,3,4,5,6,0.1,1.1,2.1,3.1,4.1,5.1,6.1,0.2,1.2,2.2,3.2,4.2,5.2,6.2,0,1,2,3,4,5,6
54,54.0,54.0,54.0,54.0,3/19/1990,14.75,14.75,14.75,14.75,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55.0,55.0,55.0,55.0,3/20/1990,14.76,14.76,14.76,14.76,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,56.0,56.0,56.0,56.0,3/21/1990,14.86,14.86,14.86,14.86,0.68%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,57.0,57.0,57.0,57.0,3/22/1990,14.78,14.78,14.78,14.78,-0.54%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,58.0,58.0,58.0,58.0,3/23/1990,14.76,14.76,14.76,14.76,-0.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,59.0,59.0,59.0,59.0,3/26/1990,14.71,14.71,14.71,14.71,-0.34%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,60.0,60.0,60.0,60.0,3/27/1990,14.7,14.7,14.7,14.7,-0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,61.0,61.0,61.0,61.0,3/28/1990,14.7,14.7,14.7,14.7,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,62.0,62.0,62.0,62.0,3/29/1990,14.71,14.71,14.71,14.71,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,63.0,63.0,63.0,63.0,3/30/1990,14.68,14.68,14.68,14.68,-0.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,64.0,64.0,64.0,64.0,4/2/1990,14.7,14.7,14.7,14.7,0.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,65.0,65.0,65.0,65.0,4/3/1990,14.68,14.68,14.68,14.68,-0.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,66.0,66.0,66.0,66.0,4/4/1990,14.68,14.68,14.68,14.68,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,67.0,67.0,67.0,67.0,4/5/1990,14.68,14.68,14.68,14.68,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,68.0,68.0,68.0,68.0,4/6/1990,14.68,14.68,14.68,14.68,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,69.0,69.0,69.0,69.0,4/9/1990,14.65,14.65,14.65,14.65,-0.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,70.0,70.0,70.0,70.0,4/10/1990,14.67,14.67,14.67,14.67,0.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,71.0,71.0,71.0,71.0,4/11/1990,14.65,14.65,14.65,14.65,-0.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,72.0,72.0,72.0,72.0,4/12/1990,14.68,14.68,14.68,14.68,0.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,73.0,73.0,73.0,73.0,4/17/1990,14.71,14.71,14.71,14.71,0.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,74.0,74.0,74.0,74.0,4/18/1990,14.7,14.7,14.7,14.7,-0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,75.0,75.0,75.0,75.0,4/19/1990,14.7,14.7,14.7,14.7,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,76.0,76.0,76.0,76.0,4/20/1990,14.69,14.69,14.69,14.69,-0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,77.0,77.0,77.0,77.0,4/23/1990,14.71,14.71,14.71,14.71,0.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
